32,Spreadsheet Compare.lnk,2.48,2020-10-17 15:34:09,2020-10-17 15:34:09,2020-11-22 10:11:21,AppVLP.exe,488.76,2020-09-24 06:15:25,2020-09-24 06:15:25,2020-10-17 15:34:09,Fixed (Hard disk),4229372527,C:\Program Files\Microsoft Office\root\Client\AppVLP.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Office 도구\Spreadsheet Compare.lnk
33,비즈니스용 Skype 기록 관리자.lnk,2.35,2020-10-17 15:34:09,2020-10-17 15:34:09,2020-11-22 10:11:21,OcPubMgr.exe,1899.91,2020-10-17 13:47:42,2020-10-17 13:47:42,2020-10-17 13:47:42,Fixed (Hard disk),4229372527,C:\Program Files\Microsoft Office\root\Office16\OcPubMgr.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Office 도구\비즈니스용 Skype 기록 관리자.lnk
34,OneNote 2016.lnk,2.31,2020-09-24 06:16:33,2020-10-17 15:34:09,2020-11-22 10:11:21,ONENOTE.EXE,417.8,2020-10-17 13:47:42,2020-10-17 13:47:42,2020-10-17 13:47:42,Fixed (Hard disk),4229372527,C:\Program Files\Microsoft Office\root\Office16\ONENOTE.EXE,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\OneNote 2016.lnk
35,Outlook.lnk,2.32,2020-09-24 06:16:33,2020-10-17 15:34:09,2020-11-22 10:11:21,OUTLOOK.EXE,40917.3,2020-10-17 13:47:43,2020-10-17 13:47:43,2020-10-17 13:47:43,Fixed (Hard disk),4229372527,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Outlook.lnk
36,PowerPoint.lnk,2.32,2020-09-24 06:16:33,2020-10-17 15:34:09,2020-11-22 10:11:21,POWERPNT.EXE,1830.32,2020-10-17 13:47:43,2020-10-17 13:47:43,2020-10-17 13:47:43,Fixed (Hard disk),4229372527,C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\PowerPoint.lnk
37,Publisher.lnk,2.29,2020-09-24 06:16:33,2020-10-17 15:34:09,2020-11-22 10:11:21,MSPUB.EXE,13642.81,2020-10-17 13:47:49,2020-10-17 13:47:49,2020-10-17 13:47:49,Fixed (Hard disk),4229372527,C:\Program Files\Microsoft Office\root\Office16\MSPUB.EXE,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Publisher.lnk
38,Python Manuals.lnk,0.72,2020-11-01 09:31:23,2020-11-01 09:31:23,2020-11-22 10:11:21,python2716.chm,6116.33,2019-03-03 16:29:42,2019-03-03 16:29:42,2020-11-01 09:31:22,Fixed (Hard disk),4229372527,C:\Python27\Doc\python2716.chm,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Python 2.7\Python Manuals.lnk
39,Samsung Photo and Imaging Gallery 제거.lnk,1.28,2020-11-16 10:54:14,2020-11-16 10:54:30,2020-11-22 10:11:21,uninst.exe,151.65,2016-04-18 21:32:50,2016-04-18 21:32:50,2020-11-16 10:54:14,Fixed (Hard disk),4229372527,C:\Program Files (x86)\Samsung Photo and Imaging Gallery\uninst.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Samsung Inkjet Printers\Samsung Photo and Imaging Gallery\Samsung Photo and Imaging Gallery 제거.lnk
40,Samsung Photo and Imaging Gallery.lnk,2.17,2020-11-16 10:54:14,2020-11-16 10:54:14,2020-11-22 10:11:21,PhotoProduct.exe,145.56,2016-04-18 20:58:28,2016-04-18 20:58:28,2020-11-16 10:54:14,Fixed (Hard disk),4229372527,C:\Program Files (x86)\Samsung Photo and Imaging Gallery\PhotoProduct.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Samsung Inkjet Printers\Samsung Photo and Imaging Gallery\Samsung Photo and Imaging Gallery.lnk
41,Samsung SL-J1660 Series.lnk,2.31,2020-11-16 10:54:09,2020-11-16 10:54:09,2020-11-22 10:11:21,Samsung SL-J1660 Series.exe,7105.0,2016-09-28 02:41:44,2016-09-28 02:41:44,2020-11-16 10:54:06,Fixed (Hard disk),4229372527,C:\Program Files\Samsung\Samsung SL-J1660 Series\Bin\Samsung SL-J1660 Series.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Samsung Inkjet Printers\Samsung SL-J1660 Series\Samsung SL-J1660 Series.lnk
